state, has_smart_meters (residential), reference
VIC, Yes, http://www.smartmeters.vic.gov.au/
NSW, Not yet, http://www.theaustralian.com.au/business/latest/nsw-to-back-voluntary-smart-meter-rollout/story-e6frg90f-1227105301923?nk=0e4c3c78f73f7b291b6ab416183a2c1b 
QLD, Yes, http://www.brisbanetimes.com.au/queensland/smart-power-meters-a-clever-idea-20121205-2avg0.html
NT, Not sure, 
ACT, Yes, http://www.actewagl.com.au/Help-and-advice/How-to-read-your-meters.aspx
TAS, Not yet, 
WA, Not yet, 
SA, Not yet, http://www.adelaidenow.com.au/news/south-australia/south-australian-electricity-consumers-likely-to-be-offered-new-smart-power-meters-but-at-a-price/story-fni6uo1m-1226882988159?nk=0e4c3c78f73f7b291b6ab416183a2c1b
