Nmi,Read Type,Meter,Register,Date,Interval,Start Time,End Time,Value,Unit of Measure
6001140731,A,0234134,E1,2013-09-21,1,00:00,00:30,0.019,KWH
6001140731,A,0234134,E1,2013-09-21,2,00:30,01:00,0.063,KWH
6001140731,A,0234134,E1,2013-09-21,3,01:00,01:30,0.063,KWH
6001140731,A,0234134,E1,2013-09-21,4,01:30,02:00,0.05,KWH
6001140731,A,0234134,E1,2013-09-21,5,02:00,02:30,0.031,KWH
6001140731,A,0234134,E1,2013-09-21,6,02:30,03:00,0.006,KWH
6001140731,A,0234134,E1,2013-09-21,7,03:00,03:30,0.444,KWH
6001140731,A,0234134,E1,2013-09-21,8,03:30,04:00,0.05,KWH
