"NMI","METER SERIAL NUMBER","CON/GEN","DATE","ESTIMATED?","00:00 - 00:30","00:30 - 01:00","01:00 - 01:30","01:30 - 02:00","02:00 - 02:30","02:30 - 03:00","03:00 - 03:30","03:30 - 04:00","04:00 - 04:30","04:30 - 05:00","05:00 - 05:30","05:30 - 06:00","06:00 - 06:30","06:30 - 07:00","07:00 - 07:30","07:30 - 08:00","08:00 - 08:30","08:30 - 09:00","09:00 - 09:30","09:30 - 10:00","10:00 - 10:30","10:30 - 11:00","11:00 - 11:30","11:30 - 12:00","12:00 - 12:30","12:30 - 13:00","13:00 - 13:30","13:30 - 14:00","14:00 - 14:30","14:30 - 15:00","15:00 - 15:30","15:30 - 16:00","16:00 - 16:30","16:30 - 17:00","17:00 - 17:30","17:30 - 18:00","18:00 - 18:30","18:30 - 19:00","19:00 - 19:30","19:30 - 20:00","20:00 - 20:30","20:30 - 21:00","21:00 - 21:30","21:30 - 22:00","22:00 - 22:30","22:30 - 23:00","23:00 - 23:30","23:30 - 00:00"
1111111111,0204324,Consumption,01/07/2014,No,0.331,0.331,0.338,0.144,0.044,0.05,0.037,0.037,0.063,0.075,0.069,0.075,0.056,0.081,0.081,0.212,0.775,0.425,0.131,0.044,0.044,0.05,0.031,0.15,0.081,0.056,0.037,0.044,0.044,0.044,0.044,0.044,0.037,0.044,0.05,0.138,0.275,0.263,0.194,0.194,0.2,0.2,0.188,0.194,0.331,0.512,0.037,0.044
1111111111,0204324,Consumption,02/07/2014,No,0.044,0.044,0.05,0.031,0.044,0.05,0.044,0.044,0.037,0.044,0.044,0.05,0.037,0.037,0.119,0.775,0.769,0.719,0.713,0.719,0.85,0.637,0.119,0.081,0.05,0.05,0.037,0.044,0.05,0.05,0.044,0.044,0.044,0.044,0.144,0.588,0.487,0.506,0.487,0.494,0.469,0.456,0.469,0.456,0.425,0.138,0.044,0.037
1111111111,0204324,Consumption,03/07/2014,No,0.044,0.05,0.044,0.044,0.037,0.05,0.044,0.044,0.037,0.044,0.063,0.075,0.075,0.075,0.362,0.825,0.181,0.031,0.156,0.138,0.369,0.181,0.181,0.194,0.169,0.175,0.156,0.138,0.163,0.131,0.069,0.887,0.425,0.856,0.219,0.313,0.319,0.263,0.256,0.244,0.256,0.25,0.244,0.231,0.169,0.3,0.044,0.05

