state(s), Company name, web portal name, web portal url, example file format in this repo?, Comment
VIC, Jemena, Jemena Electricity Outlook Portal, https://electricityoutlook.jemena.com.au, Yes,
VIC, SP Ausnet, MyHomeEnergy, https://myhomeenergy.com.au, Yes,
VIC, AGL, My AGL IQ, https://www.agl.com.au/aeo/login?returnUrl=/aeo/IQ/home/index, No,
VIC, United Energy Distribution, EnergyEasy, https://energyeasy.ue.com.au/, No,
VIC, Citipower / PowerCor, n/a, n/a, No, apparently data is not available on portal - call centre only
